case	barcode_normal	barcode_tumor	uuid_normal	uuid_tumor	chr1:111755648_normal	chr1:111755648_tumor	chr1:120973520_normal	chr1:120973520_tumor	chr1:125167749_normal	chr1:125167749_tumor	chr1:125167927_normal	chr1:125167927_tumor	chr1:143184833_normal	chr1:143184833_tumor	chr1:143191791_normal	chr1:143191791_tumor	chr1:143213623_normal	chr1:143213623_tumor	chr1:143217536_normal	chr1:143217536_tumor	chr1:143218105_normal	chr1:143218105_tumor	chr1:185156770_normal	chr1:185156770_tumor	chr10:41909522_normal	chr10:41909522_tumor	chr10:41910866_normal	chr10:41910866_tumor	chr10:42067190_normal	chr10:42067190_tumor	chr10:73969_normal	chr10:73969_tumor	chr14:75794999_normal	chr14:75794999_tumor	chr16:34582307_normal	chr16:34582307_tumor	chr16:34583579_normal	chr16:34583579_tumor	chr16:68738315_normal	chr16:68738315_tumor	chr17:59381297_normal	chr17:59381297_tumor	chr20:29080591_normal	chr20:29080591_tumor	chr20:29080600_normal	chr20:29080600_tumor	chr20:31661448_normal	chr20:31661448_tumor	chr20:34526476_normal	chr20:34526476_tumor	chr21:32413109_normal	chr21:32413109_tumor	chr3:47586910_normal	chr3:47586910_tumor	chr3:75669082_normal	chr3:75669082_tumor	chr3:75669400_normal	chr3:75669400_tumor	chr5:40681256_normal	chr5:40681256_tumor	chr5:49657236_normal	chr5:49657236_tumor	chr5:49657316_normal	chr5:49657316_tumor	chr5:49658235_normal	chr5:49658235_tumor	chr5:49660983_normal	chr5:49660983_tumor	chr8:102395112_normal	chr8:102395112_tumor	chr8:127891443_normal	chr8:127891443_tumor	chr8:128267540_normal	chr8:128267540_tumor	chr8:13132891_normal	chr8:13132891_tumor	chr9:135751043_normal	chr9:135751043_tumor
TCGA-A2-A4S1	TCGA-A2-A4S1-10A	TCGA-A2-A4S1-01A	9f629e11-6c15-4bb1-976d-41fb2c28b098	56fb8a1f-e897-4a45-a22d-ff86dced05f8	8	10.0	185.0	127.0	8.0	6.0	20.0	17.0	40.0	15.0	2.0	8.0	13.0	6.0	220.0	111.0	110.0	51.0	4.0	7.0	6.0	7.0	21.0	17.0	17.0	8.0	14.0	17.0	1.0	0.0	188.0	153.0	157.0	112.0	101.0	84.0	1.0	1.0	35.0	25.0	29.0	28.0	0.0	0.0	1.0	9	10.0	18.0	38.0	19.0	20.0	18.0	13.0	10.0	37	43	37.0	22.0	30.0	23.0	23.0	16.0	67.0	46.0	1.0	0.0	2.0	1.0	1.0	2.0	36.0	37.0	90.0	77
TCGA-LL-A73Z	TCGA-LL-A73Z-10B	TCGA-LL-A73Z-01A	6b3313dd-5d8b-4471-90e1-679d24e5b148	c3d2d64d-ebbe-4a95-8434-8506a1d3ad10	6	3.0	178.0	166.0	0.0	0.0	1.0	1.0	3.0	2.0	0.0	0.0	0.0	0.0	18.0	19.0	15.0	8.0	5.0	13.0	0.0	1.0	0.0	0.0	3.0	1.0	5.0	8.0	0.0	0.0	13.0	6.0	8.0	5.0	67.0	50.0	0.0	0.0	19.0	15.0	18.0	10.0	0.0	0.0	9.0	9	5.0	7.0	20.0	16.0	4.0	5.0	4.0	1.0	17	11	3.0	1.0	2.0	0.0	0.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	6.0	23.0	18
TCGA-AC-A6IX	TCGA-AC-A6IX-10A	TCGA-AC-A6IX-06A	5ec541a8-61af-4745-a20d-4b6c51497c31	55707e43-b7b0-42d3-bfa5-68a988873f1f	8	16.0	218.0	257.0	2.0	1.0	5.0	1.0	2.0	3.0	0.0	0.0	3.0	5.0	19.0	31.0	10.0	19.0	8.0	11.0	1.0	0.0	4.0	0.0	5.0	1.0	9.0	15.0	0.0	0.0	35.0	28.0	18.0	21.0	97.0	113.0	0.0	0.0	37.0	90.0	30.0	82.0	0.0	0.0	8.0	19	9.0	16.0	27.0	36.0	8.0	22.0	7.0	20.0	18	36	1.0	4.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	30.0	45.0	60
TCGA-B6-A409	TCGA-B6-A409-10A	TCGA-B6-A409-01A	50cb9fef-ab00-4403-adf8-b53c679eed1a	622b6de4-26f4-4bfc-9911-6bc38c48a7a5	5	11.0	151.0	200.0	11.0	14.0	28.0	31.0	32.0	36.0	10.0	26.0	14.0	21.0	185.0	287.0	96.0	177.0	5.0	3.0	10.0	7.0	15.0	41.0	20.0	28.0	9.0	13.0	0.0	0.0	309.0	439.0	170.0	359.0	91.0	113.0	1.0	0.0	23.0	42.0	18.0	38.0	0.0	1.0	6.0	6	7.0	17.0	15.0	24.0	10.0	13.0	5.0	8.0	28	38	14.0	20.0	14.0	13.0	11.0	19.0	24.0	33.0	0.0	0.0	0.0	0.0	1.0	0.0	25.0	32.0	49.0	78
TCGA-GM-A2DO	TCGA-GM-A2DO-10D	TCGA-GM-A2DO-01A	dd194e3e-1d62-4454-93f2-a82c96abba18	f7ff88d6-e315-4c0c-89e9-b2407879cc0d	6	3.0	0.0	2.0	27.0	26.0	86.0	81.0	116.0	83.0	12.0	11.0	31.0	31.0	698.0	542.0	275.0	250.0	8.0	4.0	49.0	15.0	120.0	43.0	57.0	36.0	3.0	2.0	3.0	1.0	959.0	529.0	639.0	392.0	20.0	29.0	1.0	0.0	1.0	4.0	1.0	2.0	0.0	2.0	12.0	13	11.0	16.0	2.0	0.0	24.0	39.0	24.0	16.0	42	33	101.0	58.0	79.0	58.0	68.0	37.0	139.0	93.0	0.0	2.0	2.0	2.0	1.0	0.0	8.0	5.0	28.0	28
TCGA-GI-A2C9	TCGA-GI-A2C9-11A	TCGA-GI-A2C9-01A	454dbdba-da53-4e99-9670-dff1e5bbb77c	2f2b0909-488b-4fa3-8251-2ef6e7d5869e	15	13.0	100.0	192.0	7.0	7.0	27.0	14.0	15.0	15.0	2.0	11.0	11.0	9.0	84.0	124.0	31.0	70.0	6.0	6.0	2.0	2.0	10.0	22.0	11.0	7.0	7.0	15.0	0.0	0.0	199.0	92.0	115.0	55.0	74.0	90.0	1.0	1.0	11.0	37.0	7.0	31.0	2.0	0.0	2.0	6	11.0	12.0	35.0	10.0	9.0	7.0	5.0	3.0	22	29	5.0	13.0	8.0	8.0	3.0	10.0	10.0	25.0	0.0	0.0	1.0	0.0	0.0	0.0	53.0	22.0	63.0	39
TCGA-AR-A24H	TCGA-AR-A24H-10A	TCGA-AR-A24H-01A	15540e5c-2e8d-4c76-a279-74d4b66dbfba	3ee66331-0c51-45a6-b238-fe1f88fb5629	19	5.0	5.0	0.0	57.0	46.0	127.0	79.0	175.0	123.0	36.0	18.0	18.0	19.0	723.0	441.0	396.0	252.0	9.0	4.0	23.0	20.0	199.0	121.0	68.0	26.0	1.0	1.0	10.0	1.0	1485.0	490.0	1019.0	363.0	23.0	7.0	7.0	1.0	11.0	5.0	12.0	5.0	4.0	2.0	6.0	6	15.0	8.0	3.0	2.0	71.0	26.0	47.0	18.0	36	21	146.0	90.0	99.0	74.0	124.0	87.0	235.0	175.0	1.0	1.0	1.0	3.0	1.0	1.0	19.0	5.0	34.0	13
TCGA-AC-A3TM	TCGA-AC-A3TM-10A	TCGA-AC-A3TM-01A	b7d274d7-cf38-437c-b37d-c1d6aa9ab5dd	c18178f9-9426-4684-b049-2ca8ee8f37c2	4	10.0	82.0	160.0	2.0	21.0	4.0	28.0	2.0	70.0	3.0	23.0	3.0	27.0	45.0	394.0	30.0	214.0	4.0	5.0	2.0	16.0	4.0	49.0	4.0	24.0	12.0	13.0	0.0	0.0	55.0	382.0	34.0	233.0	48.0	42.0	0.0	3.0	31.0	31.0	27.0	28.0	0.0	1.0	1.0	5	12.0	17.0	18.0	24.0	10.0	15.0	8.0	9.0	16	22	10.0	45.0	12.0	26.0	6.0	39.0	9.0	53.0	0.0	0.0	1.0	0.0	0.0	1.0	20.0	35.0	34.0	54
TCGA-AR-A5QN	TCGA-AR-A5QN-10A	TCGA-AR-A5QN-01A	091a2507-ccbe-4373-b39b-a2693d57ea2b	8232d88f-6eac-493b-bd79-6a1fb349feec	7	9.0	128.0	123.0	2.0	2.0	6.0	7.0	5.0	7.0	0.0	0.0	3.0	4.0	60.0	65.0	26.0	30.0	2.0	2.0	0.0	1.0	5.0	7.0	7.0	7.0	11.0	6.0	0.0	0.0	67.0	39.0	37.0	16.0	87.0	32.0	0.0	0.0	16.0	13.0	13.0	12.0	1.0	2.0	4.0	7	5.0	11.0	28.0	31.0	3.0	4.0	2.0	3.0	19	18	3.0	6.0	1.0	8.0	0.0	0.0	3.0	11.0	0.0	1.0	0.0	0.0	0.0	0.0	33.0	36.0	58.0	48
TCGA-E2-A576	TCGA-E2-A576-10B	TCGA-E2-A576-01A	0ebe36cf-246c-4174-9da6-d5aae1b2ef32	c3e043c1-615e-4bff-a81a-2da2a10749a5	5	3.0	188.0	157.0	0.0	1.0	2.0	2.0	2.0	2.0	0.0	0.0	3.0	0.0	19.0	10.0	8.0	7.0	3.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	6.0	7.0	0.0	0.0	13.0	23.0	8.0	13.0	76.0	50.0	0.0	0.0	23.0	23.0	18.0	24.0	0.0	0.0	7.0	6	16.0	15.0	16.0	5.0	19.0	6.0	4.0	5.0	28	31	5.0	0.0	3.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	22.0	13.0	61.0	44
